;pcaFeatures;Path
0;[-179.36052221084654,-81.573722751899];s3://oc-ds-p8-fruits-project/data_10/cabbage_white_1/r0_2.jpg
1;[-183.08703678187928,-85.19930733691679];s3://oc-ds-p8-fruits-project/data_10/cabbage_white_1/r0_0.jpg
2;[-137.44494183108034,31.942368968202906];s3://oc-ds-p8-fruits-project/data_10/cucumber_1/r0_0.jpg
3;[-136.86374405043094,31.509575560226967];s3://oc-ds-p8-fruits-project/data_10/cucumber_1/r0_2.jpg
4;[183.59647086184395,304.1679990971256];s3://oc-ds-p8-fruits-project/data_10/carrot_1/r0_2.jpg
5;[174.62392048511515,304.0870246659789];s3://oc-ds-p8-fruits-project/data_10/carrot_1/r0_0.jpg
6;[382.8333726917421,-360.1827749756506];s3://oc-ds-p8-fruits-project/data_10/eggplant_violet_1/r0_0.jpg
7;[-54.74027394426281,-2.32548407215137];s3://oc-ds-p8-fruits-project/data_10/apple_6/r0_0.jpg
8;[382.34235186043486,35.34456558391696];s3://oc-ds-p8-fruits-project/data_10/eggplant_violet_1/r0_48.jpg
9;[-63.28679788073083,-3.2911766853304996];s3://oc-ds-p8-fruits-project/data_10/apple_6/r0_48.jpg
